sentence1,sentence2,label
怎么添加名，下其他的银行卡,就是我微信绑定其他银行卡的话就会到我另外的银行卡上对不对,0
双侧膝关节骨性关节病,双膝骨关节病,1
钱没到,帮助放款,0
从新绑定银行卡需要怎么操作,手机绑定信息,0
微众银行今天怎么总是登录失败,我购买失败请问原因,0
假的我微信消费5--6万也没看到把我给开通,什么时候才能打电话给我呢,0
如果借贷成功，怎么样还,17点还扣一次，钱打卡上了,0
1000元借一天需要还多少钱,你好，我想问下怎么提升额度,0
微粒贷可以还款的银行,银行电话确认,0
请问那借款限制时间吗？,微众银行资金转出️次数限制吗？,0
你好，资金从微银行转到工商银行需要手续费吗?,多少钱可以起存,0
QQ上的借钱跟微信上的微粒贷金额是通用的吗,QQ已经有了微粒贷，微信怎么不同步。,0
钱到卡上了你扣吧,没接听到，多入会在打来,0
下午已经还了呀？为什么还提示还款失败呢？,20号还款可以不可以不,0
开通微粒货,R如何开通,0
可使用额度,微粒贷有额度，放不了,0
为什么还款后额度没有涨,为什么看到客服端没有额度！说什么评估不通过要怎么样才算通过,0
29日有一笔为什么没自动扣款,一般自动还款时间是凌晨几点,0
上午错过了电话，要多久才打电话过来,周六周日审核吗,0
还款可以退迟几天，什么时候算逾期,这个月没有按时还款有影响嘛？,0
什么时候额度可以恢复,就是现在已经是最高额度了么？,0
呼吸心跳骤停,呼吸心跳骤停,1
开户怎么说我验证码失败,为啥邮政的开户不了？,0
为什么不支持农村信用社的,中國银行信用卡能支持吗,0
卡号换卡不成功,换个卡就可以了吗,0
我什么时候可以借钱,什么时候可以提高借款额度？,0
3.050%是多少？,七天吗？,0
在那里办,17岁可以申请,0
超过3分钟了，没接到任何回复,请问审核需要多久？大概几天能下,0
一笔借款全部还清后，额度恢复后是否还可以使用？,之前我想提前还款点击那个还款详情没反应,0
办理信用卡是怎么办,可以转到别人卡上吗,0
腹块,腹块,1
还款日期是哪天,还款最长时间是多长？,0
QQ上有微粒贷额度，为什么微信上没有呢,从哪里借款,0
抢iphone7地址,有活动吗,0
审批标准,怎么查看通过结果,0
更换手机号,为什么银行预留号码不一致,0
已经属于邀请客户，为什么点击后显示综合评估不通过，是依据什么来评估的,如何通过综合审批,0
借多久之内不产生利率,微粒贷还款周期最低五个月，如果我今天贷款，可以明天就全额还款吗？利息就是算一天的是吗？,0
申请好了，电话什么时候打过来的,现在方便接听,0
你好，我想问下我借款1500元分5个月还清，每月我需要还多少呢,你好，我可以借几天吗,0
要多旧才可以到账,没有收到放乱,0
借款失败,‍老是提示我姓名格式错误怎么回事？,0
申请结清证明啊,款项还清后，会不会存在继续扣费的现象,0
今天还没扣款成功，帮忙扣款一下,人工,0
你们银行电话多少,你现在可以在打电话给我了,0
什么时候开放借款,为什么还款了可借额度没有恢复,0
手机分期,这次我的手机坏了，用以前的旧手机还的，不好意思,0
登录密码忘记了,你们真的银行卡密码忘记之后怎么办吗,0
我想把借款一次性还清，之后能不能给我寄一个结清证明？,我的意思这一期我先还，下一期我全还清行吗,0
卡上有足够的余额，为什么还款失败,一笔全额还款后第二天有贷款的限额吗,0
怎么补全身份证,您好，为什么身份证号码输不了,0
qq上有微粒贷，微信上没有,qq上有微粒贷怎么借不了款,0
为什么我一直没有额度,为什么我还完了现在没有额度了 不是说循环借吗 我从来没有预期过呀,0
查看借款记录,查不到借款记录,0
我的还款失败～～,还款说失败了呢，卡上有钱的,0
为什么不断要我输入支付密码和短信验证死循环,密码输错三次,0
补液治疗,补液治疗,1
显示出未满足微粒银行要求,不能通过的原因,0
微粒贷怎么开通,有合适的小额贷款推荐给我吗？,0
帮忙关闭微粒贷谢谢,在等电话我不借了怎么取消,0
上腹痛,右上腹阵发性胀痛,1
你好我想问你们2月2号还上班的不，我可能2号会贷款。,你好！微信里有这个贷款项目吗？,0
微粒贷罚金,到期没有本金没还光还利息可以嘛,0
你好如何升额,不能人工提额,0
为什么有图标不能开通,你们快点邀请我把,0
能再次来电么,申请不成功是否可以重新申请？,0
微粒贷借到的钱是虚拟资金吗？还是可以存到储蓄银行里取现金出来？,农村信用社银行卡支持吗,0
“查询”,还有多少钱没还,0
怎样关闭微粒贷 怎,在 我操作微信贷款的时候，预留的手机号已经停止使用了。,0
取消叽借款,我申请借款了。可是现在我又不想用这笔钱了，怎么取消？,0
多长时间,我需要你们电话我,0
还款后，多久才可以借款,提前还清还可以再借吗？,0
呼吸衰竭,呼吸循环衰竭,1
怎么查消费记录,为什么我微信消费高，微众银行理财，我比身边朋友消费多，我朋友都有微粒贷我为什么没有……,0
取现一次性取完可以吗,提款,0
为什么说我输入信息错误多次不能贷款,为什么我要借钱老是显示身份证多次输入错误,0
人行征信不符合微众银行审核,你们不给我审批,0
逾期会怎样？,还款延迟一天有影响吗,0
开通 这个微粒贷,开通和资格,0
什么时候邀请我用微粒贷,为什么我还没有被邀请,0
借3千、日利息不是一毛五吗,1万用一个月要多少息,0
我刚申请借款可不可以取消,怎么取消可借款额度显示,0
支持的银行那里家,好，我的还款日期是2号，可是我的银行卡因故只能后天解锁怎么办？,0
微粒贷支持什么银行,想把收款银行改成民生银行，怎么弄,0
你好，我借款11000，20个月，连本带息一共还多少？,一万元借5个月共多少利息？,0
再也不用微信支付了,不开通给我，我找支付宝贷,0
不好意思，刚才我手机重启了。,可以从手机里开通微粒贷吗,0
之前微粒贷有额度的，提前还款之后不能用了,想提前还款,0
借款最长期限,你好我想问问假如我借10000元，分10期，第二期把所有欠款全还可以吗,0
为什么没有达到要求,16号不是要扣款吗？怎么没扣啊？,0
可以迟一点还款吗？,我预期了一天还款 请问有什么影响吗,0
我刚申请了借款，能否取消,怎么样撤销贷款,0
还款什么时候可以在贷,还款日第二天还可以吗？,0
信息换手机发,不能通过客服去更改预留手机号码吗？,0
我是今天借的款，明天后天就可以归还可以麽？,借款成功后，款项是自由支配？提现，购物等？,0
我手机没有微粒贷，可以申请吗,为何请求信息非法,0
腹水,胸腹水,1
2016年1月1号之后可以借钱吗。,你好，刚才有一笔借款你们打电话没接到？现在需要怎么处理？,0
借钱2000利息是多少一天,开通多少钱,0
我的怎么没微粒贷,就是在qq怎么借钱,0
我已下载,怎么在公众号里下载不了微众银行App呀？,0
什么时候会再打电话过来,什么时候致电,0
但我未收到钱,一直没有接到,0
不能借钱应急啊？,QQ可以借款吗？,0
苍白,面色稍苍白,1
国华,国华天天利是什么,0
不要借贷了,为什么平时不给我发消息,0
APP上没看到定期存款,微众银行app里面有定期存款功能，这个适用于存款保险条例吗？,0
不是邀请客人,不显示微粒贷的怎么办,0
奥曲肽,奥曲肽针,1
想问问为什么我的没有额度,我是受邀请客户为什么没有额度,0
亲，我原来的号码不用了，银行卡绑定的号码我也去银行更改过了，那我怎么在微信上更改啊,qq绑定,0
7500元一个月多少息钱？,日利率最低是多少？,0
你好，我忘记问了，民生半年盈有没有初始费的？,登录了多遍都登录不上去,0
什么时候能成为你们的用户,什么是微众银行，,0
总帐单,没有寄账单这么一回事吧,0
怎样降低授信额度,扣了一期钱，但是账单金额却没有减少,0
你们的原因导致无法自动还款，农行的，怎么办,17点之后在还款卡中转入足额资金可以吗,0
今天这个打电话来，我又没有接到,但是打电话都没有给我打过来，什么说没通过吗？,0
开通微粒贷款,开通需要什么条件,0
为何还款之后不可以再借款了,主动还款必须是还清全部欠款啊！,0
我微信里没有，微粒贷。,微粒贷业务,0
借五个月，用一个了下就提前还清，后回个月利息也要还吗,你好我提前还款利息咋算了？,0
了解一下微众银行app,微众app怎么了？每日收益乱了,0
不知道什么时候放款,l为什么收到借款申请通过，可银行卡余额没有变,0
什么意思 审核失败？,不是这个问题，我是借款过了，没通过,0
冻结了银行卡，逾期了怎么办,一共欠款,0
你好！借的钱是直接到银行卡里还是到微信里？,我想更改收款帐户，如何更改？,0
球结膜,球结膜,1
微粒贷逾期还清能恢复正常吗？,七夕节能都有微粒贷免息优惠券相赠呀？好期待再次使用你们的产品啊,0
客服,帮我看看我6月24日的还款有没有成功,0
我现在借款500然后9月10号左右全部还款的话利息多少？,手续费,0
你好…电话确认要等待多久,什么时候再打电话我,0
我还款正常，为什么不能借,不能自主还款么,0
关闭,借款了说等电话，为什么没有电话通知？,0
二十分钟了，怎么还没到帐？,1微利贷什么时候开通,0
好了吗,人工服务,0
不想办分期，只想接几天，可以吗,分十个月呢,0
怎么样关闭微粒贷这个功能,电话停机怎么办,0
利息是怎么收的 我的微信里没有微粒贷啊,微利贷月利率是多少？,0
12个月还款1万元多少利息,7天免息是怎样计算的,0
人工换卡,你好！请问一下你我的扣扣号的银行卡换了怎样还款,0
你好 昨天怎么没有扣款,你好现在还不了款了吗,0
你好我可以贷款吗,你好！我什么时侯才有你们微粒贷这个功能,0
微粒代介绍,你好这微粒贷是怎么用呀。,0
等待电话确认，一般要等多久时间,下午申请的 电话确认要多久,0
没有选项,点哪里借,0
/:|-)还没开通,没看到手动还款功能,0
为什么它没有自动扣款，我卡里有钱,你好，我换了新卡，今天自动还款失败。,0
一般几点扣款,一个月一还可以吗,0
为什么我贷款的额度比以前还降了？,怎么减少借款额度,0
如果是本人银行卡还未绑定能通过吗,我现在绑定的是哪张卡？,0
等待确认电话,审核多长时间？,0
开通微粒贷需要提供哪些资料？,如何查看我身份是否认证,0
你好，我将申请银行商业贷款，需要麻烦微粒贷帮我出示欠款已还清证明。,你好，怎么能开结清证明,0
我要回到主菜单,业务菜单,0
申请借贷之后需要手机号验证码，可是我换手机号了收不到怎么办,验证码往哪里输入啊,0
已经借款成功的可以改变还款分期吗？,我选的是10个月的，可以更换吗,0
不扣款？？？今天还款日，不扣？,一个额度分两次借款，还款时应该怎么还？,0
QQ不能开户吗,卡片申请,0
6月1日申请借款，至今还没有接到银行的电话确认,不好意思！午休！重新打,0
密码输入错误次数过多请第二天再试,怎么补齐姓名和身份信息 为何总说填写不正确的哦,0
能重新使用吗？,再次申请微粒贷未通过评审，多久才能正常使用,0
是客服电话吗？,刚刚打电话来，我这边没信号，可以再拨打吗,0
下载了登录了还是用不了,下载完APP呢,0
精神衰弱,精神状态较差,1
为何借款失败,为什么我借钱是输入的身份信息都正确，为什么会显示输入错误次数过多,0
我什么时候可以借款,为什么第二次借款要付这么多？,0
还款不成功怎么办？,第一次还款就失败,0
已经还款，怎么还给我发逾期通知？,我已经申请延期一天还款 为什么短信会催,0
今天是我的还款日，申请延期10天左右还款,可不可以延迟一天还款？,0
7号当天什么时候扣款,12点自动还款失败，第二次自动扣款是几点,0
口唇疱,口唇疱,1
精神障碍,精神障碍,1
日利率是多少啊,我想问一下，这个月息是多少,0
为什么综合评估未能通过,之前好端端的变评估未通过了,0
为什么我借钱失败,信息输入错误，贷不了怎么恢复？,0
怎么取消借贷,预留手机号停用了怎么办,0
.借款期限,13000分期12期,0
请问申请所需哪些资料呢,手机QQ微粒贷已开放了吗？,0
一次性还完借款后能不能再借,3提前还款,0
1.借款失败原因,为什么我还款了确借不出来了,0
你好，我现在有个网友说帮我开微粒贷，我想问可以开吗？,微信借钱 需要什么条件,0
一般几天钱能到账？,一般电话核实要多久,0
为什么我未满足条件,1:内外部综合评分是什么意思,0
为什么变成审核失败了,一天不来电话核实，是不是预示着申请失败,0
刚才申请的微粒贷，说我身份信息输入错误次数太多,请求信息非法,0
申请延迟一天,还款可以推迟多少天？,0
延期还款会不会影响征信,分期后逾期了，结果还这样,0
收到谢谢了,放款金额怎么升,0
借贷款期限,借款能分期还吗,0
具体多久到账,何时才能和微粒货相见,0
刚刚手机没钱了 现在可以打了,为什iPhone的手机都没有微粒,0
张力高,张力高,1
开通了却不能借,开通微粒贷，关闭了，还能再开吗,0
卵巢瘤,卵巢瘤,1
你好，自动还款怎么显示还未还款成功，都第三天了，会不会影响我的信用,为何不同的人利率不一样,0
农行信用卡怎么开不了户,资料都是对的，怎么开不了户？,0
什么时候可以回复借款成功,什么时候可以提升啊？一直要还完原来借款才可以吗？,0
借款必须全部还清才能二次借吗？,提前还款会积累信用吗,0
不是有电话确认，为什么还没来,但是我怕他来电我不方便接听,0
为什么不可以提前还清当期的还款呢,下个月应还款额是否可以提前还款,0
腹痛,中下腹压痛,1
为什么会还款失败,为何还款后的额度不能循环使用。,0
下周有什么理财产品吗,l我有一笔基金赎回这么久了怎么还没解决,0
我想问一下怎么绑定银行卡的？,我绑定不了银行卡,0
解绑银行卡,绑定银行卡,0
客服,早就还清啦，怎么我的征信报告会有这种情况,0
什么叫综合评估,怎么查看自己的信用情况,0
身份信息出现错误,怎么样知道微信身份验证成功？,0
客服电话是什么号啊,怎么联系银行,0
7月5日转入的钱，怎么还没到账,7月5日的太平众享天天利的8.72元也没有到账,0
招商银行单日限额多少啊？,活期＋，也就是货币基金001234，每日转到建行银行卡有额度限制吗,0
为什么我还没有开放到,一定要绑定信用卡吗,0
你们有客服热线吗？,是你们客服电话吗,0
想借钱,把贷款还清了可以再贷吗？,0
胃底,胃底,1
我的信用额度都很高为什么贷不了呢,余额最高多少,0
电话核实需要多久？,还要审核什么啊？,0
董事长是谁,你老板在吗/偷笑,0
为什么我没有微利贷,‍什么时候会有,0
消炎药,消炎药,1
一万块一天多少钱,/可爱/可爱我没额度啊,0
每月还款多少,有两笔借款，可以提前还一笔吗？按日息计算,0
最迟什么时候接到银行电话,我用的是工商银行信用卡,0
我的借款额度怎么降低了,要降低额度,0
如何被微粒贷邀请,受邀等多久,0
无法进,怎样获得优惠卷,0
咋样才能申请微粒贷款,1.合适会邀请我使用微粒贷,0
微信怎么申请微粒贷,借钱,0
你好。借的钱可以取出来吗,一次取现能取多少？,0
跟换手机号码,为什么验证码总发在以前的手机号码上,0
取消微粒贷借款,微粒贷停止营业了吗？,0
0.05利息,、请问10万元1个月的利息是多少,0
还款期怎么改,我明明是申请了20个月还款，怎么系统自动改变成为10个月,0
你好我为什么收不到验证码,为何每次借款输入验证码按下一步后都只显示正在加载就不动啦?,0
为啥昨晚借的钱到现在还没到账,什么时候为我开通微贷,0
上月己更改尾号0471的银行卡还款，卡里有钱，为什么会还款失败。,一直让我还款都按时还了呀，为什么不能借钱了？,0
几天还款,两次申请间隔时间需要多久？,0
现在有优惠券么,有免息的优惠券吗？,0
申请延期至20日还款,请问还款最迟可以推迟几天,0
安卓版没有微粒贷,不好意思，刚手机没电，可以接了,0
我每个月还的款包括本金吗,推迟还款几天可以？,0
一般都是还款日几点扣款？,昨天提交的，为什么今天还没借到,0
借款可用于还朋友钱吗,不能用做证券投资就是不能买股票吗？请问,0
定期存款的证明和银行的存单一样吗,4#不开户就看不到定期存款，我感觉体验不好,0
你好！我这几天每天微信都登录不上。显示网络问题，但本身网络没问题。,人脸识别闪退,0
为什么我借不到钱啊,怎么没开放？,0
修改每日转入限额,我的限额怎么查,0
不是邀请的就不能用？,一般会邀请什么样的人？,0
如果逾期怎么处理,可以伸请迟一点还吗,0
经腹直肠癌根治术,经腹直肠癌根治术,1
要等多久？,你好，我有7天免息优惠券，现在可借款14000.比如我分不同天数借款，这券只能用一次还是？,0
未满足审核要求是什么原因,审核电话,0
在吗？ 我还款怎么失败啊,怎么不可以主动还款,0
如何开通微粒贷,“菜单”,0
为何收不到验证码,为啥我收到短信验证码以后一点下一步就卡出去了？,0
为什么弄不成,我以前可以用的,0
背部瘢痕,背部见一处长约10cm纵行手术疤痕,1
你好 我在绑定银行卡的预留电话号码早已变更过了 ，可是最后的验证码还是显示发送到我原先的手机号上了，我原先号码已经不用，请问该怎么办？,你好，如何解绑财付通绑定的银行卡？？本人要更换银行卡,0
早上借了两笔五千怎没到帐,我的资金没有到账,0
输尿管积水,输尿管积水,1
最短只能分5期吗？,还款期限有没有宽限期,0
一万一个月多少利息,3怎么计算,0
申请额度,授信额度,0
1000元五期利息是多少,1000元的利息是几多,0
推迟二天还款有没有什么麻烦,现在逾期了几天现在怎么还款？,0
何时会要请,一键开通,0
今天十二点前都不算逾期对吗,今天还款但是已逾期一天会有什么影响没？,0
1000元日利息多少,微粒贷的日利率是固定的吗？,0
丹参片,丹参丸,1
为什么做不了微粒贷,你好，我要怎么样才可以微信贷,0
什么叫仅可用作本人日常消费使用？,交易信息,0
4月3日借款可以马上到账嘛,00那就不知道了，我好想开通好久了,0
金融怎么联系电话,是你们的电话吗,0
人工客服 有人吗 换卡 我绑定的银行卡丢失了，换一张卡行不行 你好,换了为什么还是显示原本那张还？,0
我可以申请一个微粒贷的名额吗,我什么时候会收到邀请,0
需要降低额度,信用贷款额度能降低吗,0
可以更换还款银行吗,如何主动还款,0
今天能给我办理吗,我借到没,0
40000元借款要多长时间到账？,一般微粒什么时候开放,0
已经属于邀请客户，为什么点击后显示综合评估不通过，是依据什么来评估的,怎么才能综合评估过关,0
QQ换卡,你好 银行绑定的手机号码没用了 有别的方法吗,0
从我农行卡扣不就行了,5号还款，刚刚还进去，算逾期吗,0
为什么还是不能绑定微信快捷支付呢,为啥微卡帮不了支付宝,0
不好意思，错过了审核电话,再次致电谢谢,0
我该什么时候还款啦,当日还款,0
提前还款后面还有利息吗？,我提前还款了，无法借款,0
怎么样进行身份验证,需要身份验证吗？,0
抢购的iphone7是否行货,抢iPhone7的活动怎么报价,0
还款卡号更改了怎么办,如何改为5个月还款,0
开户为何总是显示失败,我是受邀客户为什么开通不了？,0
为什么还没扣钱的？,人工,0
2 申请,一般要什么条件开通微粒贷,0
为什么我的微粒贷开通不了,输入信息都对，为什么开户不了,0
开通不了怎么回事,开户人脸失败,0
是否是使用多少天，就算多少天的利息？,借款利息怎么收取，还款时间多长,0
我现在有一笔借款还需要还一次，我提前还清后额度会立即恢复嘛,我怎么贷不了款,0
